Environmental package	Structured comment name	Package item	Definition	Requirement	Expected value	Value syntax	Occurrence	Position	Preferred unit
air	alt	altitude	the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air	M	measurement value	{float} m	1	0	meter
air	elev	elevation	the elevation of the sampling site as measured by the vertical distance from mean sea level	C	measurement value	{float} {unit}	1	0	meter
air	barometric_press	barometric pressure	force per unit area exerted against a surface by the weight of air above that surface	X	measurement value	{float} {unit}	1	1	millibar
air	carb_dioxide	carbon dioxide	carbon dioxide (gas) amount or concentration at the time of sampling	X	measurement value	{float} {unit}	1	1	micromole per liter
air	carb_monoxide	carbon monoxide	carbon monoxide (gas) amount or concentration at the time of sampling	X	measurement value	{float} {unit}	1	1	micromole per liter
air	chem_administration	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI	X	CHEBI;timestamp	{term}; {timestamp}	m	1	
air	humidity	humidity	amount of water vapour in the air, at the time of sampling	X	measurement value	{float} {unit}	1	1	gram per cubic meter
air	methane	methane	methane (gas) amount or concentration at the time of sampling	X	measurement value	{float} {unit}	1	1	micromole per liter
air	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	1	
air	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	X	organism name;measurement value	{text};{float} {unit}	m	1	number of organism per cubic meter
air	oxy_stat_samp	oxygenation status of sample	oxygenation status of sample	X	enumeration	[aerobic|anaerobic]	1	1	
air	oxygen	oxygen	oxygen (gas) amount or concentration at the time of sampling	X	measurement value	{float} {unit}	1	1	milligram per liter, parts per million
air	perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	perturbation type name;time interval	{text};{interval}	m	1	
air	pollutants	pollutants	pollutant types and, amount or concentrations measured at the time of sampling; can report multiple pollutants by entering numeric values preceded by name of pollutant	X	pollutant name;measurement value	{text};{float} {unit}	m	1	gram, mole per liter, milligram per liter
air	resp_part_matter	respirable particulate matter	concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM	X	particulate matter name;measurement value	{text};{float} {unit}	m	1	microgram per cubic meter
air	samp_salinity	sample salinity	salinity of sample, i.e. measure of total salt concentration	X	measurement value	{float} {unit}	1	1	practical salinity unit, percentage
air	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1	1	
air	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1	1	
air	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80 degree Celsius	X	measurement value	{float} {unit}	1	1	degree Celsius
air	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	1	millliter, gram, milligram
air	solar_irradiance	solar irradiance	the amount of solar energy that arrives at a specific area of a surface during a specific time interval	X	measurement value	{float} {unit}	1	1	watts per square meter, ergs per square centimeter per second
air	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1	1	degree Celsius
air	ventilation_rate	ventilation rate	ventilation rate of the system in the sampled premises	X	measurement value	{float} {unit}	1	1	cubic meter per minute, liters per second
